====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
2048. Shunsuke Nakamura #3                | CAM | 2014 | SPD:93 DRB:90 SHO:65 DEF:68 PHY:77 IQ:88 | Barcelona
2049. Ronaldo Nazario #3                  | RB  | 2006 | SPD:81 DRB:68 SHO:66 DEF:85 PHY:75 IQ:78 | Juventus
2050. Romário #3                          | CB  | 2010 | SPD:90 DRB:63 SHO:47 DEF:93 PHY:80 IQ:79 | AC Milan
2051. Renan Lodi #3                       | CDM | 2018 | SPD:82 DRB:83 SHO:81 DEF:63 PHY:98 IQ:78 | Chelsea
2052. João Moutinho #3                    | CAM | 2010 | SPD:88 DRB:88 SHO:81 DEF:73 PHY:95 IQ:96 | Real Madrid
2053. Eden Hazard #3                      | LB  | 2022 | SPD:75 DRB:79 SHO:49 DEF:85 PHY:82 IQ:85 | Bayern Munich
2054. Sergio Livingstone #3               | LB  | 2006 | SPD:79 DRB:67 SHO:61 DEF:88 PHY:90 IQ:90 | Barcelona
2055. Uli Hoeness #3                      | LW  | 2014 | SPD:86 DRB:83 SHO:84 DEF:53 PHY:79 IQ:82 | Manchester United
2056. Claudio Bravo #3                    | CDM | 2010 | SPD:86 DRB:77 SHO:69 DEF:69 PHY:98 IQ:81 | AC Milan
2057. Stam Jaap #3                        | CDM | 2010 | SPD:92 DRB:73 SHO:80 DEF:85 PHY:91 IQ:98 | Paris SG
2058. Álvaro González #3                  | CM  | 2010 | SPD:81 DRB:75 SHO:80 DEF:67 PHY:83 IQ:93 | Real Madrid
2059. Ali Daei #3                         | CB  | 2010 | SPD:78 DRB:71 SHO:58 DEF:93 PHY:79 IQ:92 | Arsenal
2060. Naby Keita #3                       | CDM | 2010 | SPD:92 DRB:70 SHO:72 DEF:77 PHY:92 IQ:78 | Inter Milan
2061. Harvey Elliott #3                   | LW  | 2014 | SPD:95 DRB:89 SHO:82 DEF:47 PHY:96 IQ:81 | Liverpool
2062. Thomas Muller #3                    | GK  | 2018 | SPD:71 DRB:42 SHO:43 DEF:99 PHY:89 IQ:83 | Napoli
2063. Serge Gnabry #3                     | RB  | 2010 | SPD:86 DRB:74 SHO:51 DEF:92 PHY:85 IQ:93 | Bayern Munich
2064. Fernandinho #3                      | CM  | 2018 | SPD:87 DRB:72 SHO:85 DEF:81 PHY:96 IQ:78 | Barcelona
2065. Alejandro Balde #3                  | CAM | 2022 | SPD:86 DRB:92 SHO:86 DEF:62 PHY:89 IQ:91 | Barcelona
2066. Ousmane N'Doye #3                   | LW  | 2018 | SPD:96 DRB:86 SHO:83 DEF:58 PHY:91 IQ:81 | Napoli
2067. Ley Yashin #3                       | ST  | 2014 | SPD:92 DRB:89 SHO:95 DEF:44 PHY:95 IQ:95 | Paris SG
2068. Romário Baldé #3                    | CDM | 2010 | SPD:79 DRB:84 SHO:75 DEF:71 PHY:89 IQ:97 | Arsenal
2069. Marquinhos #3                       | RB  | 2014 | SPD:88 DRB:69 SHO:54 DEF:94 PHY:75 IQ:96 | Inter Milan
2070. Peter Crouch #3                     | GK  | 2010 | SPD:73 DRB:35 SHO:20 DEF:96 PHY:78 IQ:79 | Juventus
2071. Lisandro Martínez #3                | CDM | 2022 | SPD:94 DRB:88 SHO:69 DEF:81 PHY:96 IQ:95 | Chelsea
2072. Kenan Kodro #3                      | RB  | 2006 | SPD:86 DRB:61 SHO:66 DEF:94 PHY:88 IQ:83 | Paris SG
2073. Gary Medel #3                       | CM  | 2010 | SPD:89 DRB:79 SHO:68 DEF:82 PHY:84 IQ:86 | Inter Milan
2074. Kaka #3                             | LW  | 2014 | SPD:94 DRB:92 SHO:93 DEF:55 PHY:80 IQ:90 | Barcelona
2075. Craig Johnston #3                   | CDM | 2018 | SPD:82 DRB:88 SHO:66 DEF:77 PHY:79 IQ:88 | Chelsea
2076. Kleberson #3                        | CAM | 2018 | SPD:91 DRB:71 SHO:71 DEF:80 PHY:93 IQ:89 | Chelsea
2077. Ipiales Jefferson #3                | GK  | 2018 | SPD:74 DRB:41 SHO:42 DEF:92 PHY:79 IQ:92 | Liverpool
2078. Landon Donovan #3                   | CDM | 2006 | SPD:86 DRB:82 SHO:79 DEF:76 PHY:85 IQ:80 | Inter Milan
2079. Draxler Julian #3                   | CDM | 2014 | SPD:78 DRB:74 SHO:66 DEF:71 PHY:79 IQ:90 | Paris SG
2080. George Best #3                      | CAM | 2014 | SPD:83 DRB:91 SHO:87 DEF:62 PHY:92 IQ:80 | Napoli
2081. Jose Manuel Reina #3                | RB  | 2006 | SPD:82 DRB:60 SHO:54 DEF:88 PHY:91 IQ:97 | AC Milan
2082. Frank Lampard #3                    | ST  | 2010 | SPD:95 DRB:75 SHO:91 DEF:44 PHY:79 IQ:85 | Arsenal
2083. Gianlluigi Buffon #3                | LB  | 2014 | SPD:90 DRB:62 SHO:70 DEF:87 PHY:81 IQ:84 | Liverpool
2084. Alphonse Areola #3                  | ST  | 2010 | SPD:87 DRB:86 SHO:83 DEF:54 PHY:78 IQ:95 | Juventus
2085. Sergei Ignashevich #3               | CM  | 2010 | SPD:84 DRB:78 SHO:80 DEF:84 PHY:83 IQ:79 | Manchester United
2086. Peter Beardsley #3                  | RB  | 2010 | SPD:80 DRB:69 SHO:57 DEF:86 PHY:82 IQ:78 | Liverpool
2087. Vinicius Junior #3                  | RB  | 2014 | SPD:89 DRB:68 SHO:57 DEF:87 PHY:95 IQ:87 | Liverpool
2088. Miroslav Stevic #3                  | ST  | 2006 | SPD:84 DRB:75 SHO:82 DEF:29 PHY:88 IQ:90 | Manchester United
2089. Rinus Michels #3                    | RB  | 2006 | SPD:80 DRB:78 SHO:56 DEF:95 PHY:78 IQ:95 | Arsenal
2090. Raphael Varane #3                   | LW  | 2014 | SPD:94 DRB:91 SHO:91 DEF:27 PHY:92 IQ:79 | Real Madrid
2091. Antonio Rudiger #3                  | CB  | 2010 | SPD:90 DRB:69 SHO:59 DEF:92 PHY:94 IQ:81 | Paris SG
2092. Esteban Paredes #3                  | ST  | 2006 | SPD:84 DRB:79 SHO:98 DEF:37 PHY:89 IQ:95 | Juventus
2093. Bixente Lizarazu #3                 | RB  | 2010 | SPD:86 DRB:74 SHO:70 DEF:98 PHY:85 IQ:89 | Chelsea
2094. Lucas Paquetá #3                    | CM  | 2006 | SPD:88 DRB:75 SHO:73 DEF:78 PHY:92 IQ:97 | Manchester United
2095. Javier Mascherano #3                | ST  | 2022 | SPD:87 DRB:77 SHO:98 DEF:36 PHY:78 IQ:92 | Barcelona
2096. Luís Figo #3                        | GK  | 2010 | SPD:74 DRB:39 SHO:25 DEF:92 PHY:80 IQ:96 | Inter Milan
2097. Giorgian Meladze #3                 | CAM | 2006 | SPD:92 DRB:91 SHO:74 DEF:72 PHY:82 IQ:95 | Inter Milan
2098. Nacho Fernandez #3                  | LB  | 2014 | SPD:89 DRB:67 SHO:53 DEF:90 PHY:75 IQ:93 | Paris SG
2099. Toni Kroos #3                       | LW  | 2022 | SPD:95 DRB:83 SHO:89 DEF:55 PHY:85 IQ:88 | Paris SG
2100. David Beckham #3                    | LW  | 2006 | SPD:85 DRB:90 SHO:84 DEF:41 PHY:96 IQ:85 | Juventus
2101. Carlos Valderrama #3                | CAM | 2014 | SPD:85 DRB:78 SHO:77 DEF:85 PHY:98 IQ:79 | Arsenal
2102. Paul Ince #3                        | LB  | 2014 | SPD:80 DRB:78 SHO:53 DEF:93 PHY:77 IQ:78 | Barcelona
2103. Pelé #3                             | LB  | 2006 | SPD:86 DRB:75 SHO:55 DEF:96 PHY:84 IQ:98 | Manchester United
2104. Savo Milošević #3                   | GK  | 2006 | SPD:78 DRB:36 SHO:21 DEF:93 PHY:89 IQ:98 | Real Madrid
2105. Predrag Djordjevic #3               | LW  | 2018 | SPD:89 DRB:86 SHO:91 DEF:58 PHY:79 IQ:97 | Inter Milan
2106. Marko Milić #3                      | CB  | 2006 | SPD:75 DRB:78 SHO:70 DEF:95 PHY:98 IQ:98 | Chelsea
2107. Ole Gunnar Solskjaer #3             | ST  | 2022 | SPD:84 DRB:77 SHO:96 DEF:58 PHY:86 IQ:98 | Liverpool
2108. Dimitris Salpigidis #3              | CM  | 2006 | SPD:90 DRB:74 SHO:78 DEF:84 PHY:97 IQ:88 | Bayern Munich
2109. Abedi Pele #3                       | CDM | 2018 | SPD:90 DRB:87 SHO:87 DEF:73 PHY:96 IQ:82 | AC Milan
2110. Zinédine Zidane #3                  | CDM | 2006 | SPD:87 DRB:77 SHO:66 DEF:70 PHY:91 IQ:78 | Juventus
2111. Ever Banega #3                      | CM  | 2022 | SPD:86 DRB:89 SHO:67 DEF:76 PHY:85 IQ:84 | Real Madrid
2112. Ricky Alvarez #3                    | ST  | 2014 | SPD:92 DRB:81 SHO:95 DEF:43 PHY:92 IQ:91 | Real Madrid
2113. Anatolii Kanischev #3               | LW  | 2006 | SPD:82 DRB:95 SHO:83 DEF:31 PHY:93 IQ:92 | Arsenal
2114. José María Basanta #3               | GK  | 2010 | SPD:81 DRB:50 SHO:32 DEF:92 PHY:75 IQ:98 | Juventus
2115. Nicolás Lodeiro #3                  | CM  | 2022 | SPD:80 DRB:83 SHO:86 DEF:78 PHY:81 IQ:79 | Paris SG
2116. Isco #3                             | LW  | 2018 | SPD:96 DRB:83 SHO:96 DEF:50 PHY:86 IQ:88 | Bayern Munich
2117. Florian Malouda #3                  | CM  | 2010 | SPD:94 DRB:79 SHO:82 DEF:85 PHY:94 IQ:92 | Paris SG
2118. Diego Costa #3                      | CDM | 2006 | SPD:93 DRB:73 SHO:77 DEF:70 PHY:82 IQ:80 | Napoli
2119. José Manuel Reina #3                | CM  | 2022 | SPD:93 DRB:83 SHO:65 DEF:78 PHY:87 IQ:94 | Inter Milan
2120. Christian Vieri #3                  | CDM | 2010 | SPD:80 DRB:91 SHO:83 DEF:83 PHY:81 IQ:88 | Manchester United
2121. Karim Benzema #3                    | GK  | 2018 | SPD:72 DRB:52 SHO:25 DEF:90 PHY:95 IQ:78 | Napoli
2122. Karl-Heinz Förster #3               | CDM | 2010 | SPD:88 DRB:85 SHO:65 DEF:71 PHY:78 IQ:87 | Liverpool
2123. Alan Dzagoev #3                     | CAM | 2006 | SPD:85 DRB:82 SHO:70 DEF:74 PHY:78 IQ:80 | Napoli
2124. Jordan Henderson #3                 | GK  | 2018 | SPD:78 DRB:50 SHO:43 DEF:92 PHY:89 IQ:83 | Barcelona
2125. Karim Keïta #3                      | LW  | 2014 | SPD:87 DRB:89 SHO:90 DEF:43 PHY:80 IQ:80 | Liverpool
2126. Fernando Gago #3                    | LW  | 2014 | SPD:95 DRB:85 SHO:93 DEF:54 PHY:79 IQ:92 | AC Milan
2127. Daniel Alves #3                     | RB  | 2018 | SPD:84 DRB:77 SHO:62 DEF:94 PHY:84 IQ:78 | Real Madrid
2128. João Cancelo #3                     | GK  | 2022 | SPD:81 DRB:40 SHO:26 DEF:90 PHY:90 IQ:90 | Barcelona
2129. Pedri #3                            | RB  | 2010 | SPD:89 DRB:76 SHO:64 DEF:95 PHY:82 IQ:97 | Liverpool
2130. Seydou Keïta #3                     | ST  | 2022 | SPD:88 DRB:91 SHO:87 DEF:28 PHY:78 IQ:79 | Napoli
2131. Toby Alderweireld #3                | CAM | 2006 | SPD:90 DRB:77 SHO:65 DEF:72 PHY:78 IQ:87 | Napoli
2132. Jorge Valdivia #3                   | ST  | 2018 | SPD:89 DRB:90 SHO:90 DEF:60 PHY:90 IQ:97 | Arsenal
2133. Maximiliano Rodríguez #3            | CAM | 2014 | SPD:91 DRB:75 SHO:83 DEF:70 PHY:94 IQ:94 | Barcelona
2134. Luis Enrique #3                     | CAM | 2018 | SPD:79 DRB:87 SHO:78 DEF:70 PHY:75 IQ:95 | Juventus
2135. Rui Patrício #3                     | CAM | 2010 | SPD:92 DRB:72 SHO:88 DEF:73 PHY:76 IQ:85 | Liverpool
2136. Éric Cantona #3                     | CM  | 2006 | SPD:93 DRB:89 SHO:70 DEF:76 PHY:83 IQ:90 | Barcelona
2137. Guido Rodriguez #3                  | GK  | 2018 | SPD:73 DRB:30 SHO:44 DEF:94 PHY:98 IQ:87 | Chelsea
2138. Benjamin Pavard #3                  | CDM | 2010 | SPD:91 DRB:84 SHO:66 DEF:74 PHY:98 IQ:86 | Arsenal
2139. Trevor Brooking #3                  | GK  | 2014 | SPD:76 DRB:43 SHO:29 DEF:92 PHY:95 IQ:96 | Chelsea
2140. Laurent Blanc #3                    | LW  | 2006 | SPD:85 DRB:83 SHO:84 DEF:29 PHY:79 IQ:86 | Juventus
2141. Mats Hummels #3                     | CDM | 2022 | SPD:85 DRB:85 SHO:81 DEF:68 PHY:93 IQ:91 | Chelsea
2142. Jackson Martinez #3                 | ST  | 2022 | SPD:85 DRB:77 SHO:92 DEF:47 PHY:92 IQ:78 | AC Milan
2143. Abedi Ayew #3                       | ST  | 2014 | SPD:84 DRB:77 SHO:86 DEF:26 PHY:94 IQ:95 | Inter Milan
2144. Giorgian de Arrascaeta #3           | CM  | 2014 | SPD:88 DRB:88 SHO:83 DEF:85 PHY:76 IQ:89 | Juventus
2145. Emmanuel Macron #3                  | GK  | 2018 | SPD:80 DRB:45 SHO:30 DEF:93 PHY:93 IQ:87 | Arsenal
2146. Alvaro Morata #3                    | ST  | 2010 | SPD:92 DRB:79 SHO:92 DEF:56 PHY:89 IQ:91 | Inter Milan
2147. Medhi Benatia #3                    | CB  | 2006 | SPD:90 DRB:77 SHO:70 DEF:85 PHY:94 IQ:90 | Napoli
2148. Kingsley Coman #3                   | LW  | 2018 | SPD:88 DRB:76 SHO:90 DEF:58 PHY:93 IQ:90 | Manchester United
2149. Yaya Touré #3                       | CB  | 2014 | SPD:79 DRB:60 SHO:61 DEF:87 PHY:97 IQ:97 | Liverpool
2150. Kepa Arrizabalaga #3                | LW  | 2006 | SPD:90 DRB:89 SHO:83 DEF:28 PHY:75 IQ:81 | Napoli
2151. N'Golo Kante #3                     | CB  | 2014 | SPD:75 DRB:63 SHO:61 DEF:93 PHY:95 IQ:96 | Paris SG
2152. Sandro #3                           | LW  | 2022 | SPD:89 DRB:85 SHO:97 DEF:30 PHY:83 IQ:95 | Chelsea
2153. Jan Koller #3                       | CAM | 2006 | SPD:84 DRB:90 SHO:80 DEF:61 PHY:93 IQ:84 | AC Milan
2154. Steven Pienaar #3                   | CDM | 2014 | SPD:92 DRB:80 SHO:65 DEF:78 PHY:77 IQ:92 | Chelsea
2155. Sergei Rebrov #3                    | RB  | 2018 | SPD:77 DRB:66 SHO:50 DEF:89 PHY:94 IQ:90 | Barcelona
2156. Sander Westerveld #3                | LW  | 2018 | SPD:86 DRB:78 SHO:86 DEF:26 PHY:79 IQ:85 | AC Milan
2157. Alexis Mac Allister #3              | ST  | 2006 | SPD:91 DRB:83 SHO:84 DEF:43 PHY:92 IQ:80 | Bayern Munich
2158. Ghighlione Carlos #3                | RB  | 2018 | SPD:83 DRB:78 SHO:69 DEF:94 PHY:90 IQ:83 | Inter Milan
2159. Ronaldinho Gaucho #3                | CM  | 2006 | SPD:93 DRB:71 SHO:86 DEF:78 PHY:96 IQ:85 | Bayern Munich
2160. Pele #3                             | CDM | 2018 | SPD:80 DRB:87 SHO:78 DEF:81 PHY:79 IQ:91 | Juventus
2161. Vinícius Júnior #3                  | CB  | 2014 | SPD:89 DRB:77 SHO:51 DEF:87 PHY:86 IQ:79 | Chelsea
2162. Ivan Perisic #3                     | ST  | 2006 | SPD:86 DRB:80 SHO:91 DEF:60 PHY:88 IQ:97 | Juventus
2163. Marco Materazzi #3                  | RB  | 2014 | SPD:87 DRB:75 SHO:47 DEF:93 PHY:80 IQ:88 | Arsenal
2164. Ronnie Whelan #3                    | GK  | 2022 | SPD:76 DRB:45 SHO:41 DEF:92 PHY:90 IQ:88 | AC Milan
2165. Mark van Bommel #3                  | LW  | 2022 | SPD:86 DRB:81 SHO:88 DEF:26 PHY:84 IQ:97 | Bayern Munich
2166. Réduan Amrani #3                    | CAM | 2018 | SPD:94 DRB:89 SHO:81 DEF:72 PHY:94 IQ:83 | Liverpool
2167. Nicolas Anelka #3                   | CB  | 2018 | SPD:82 DRB:72 SHO:54 DEF:86 PHY:86 IQ:79 | Chelsea
2168. Julian Draxler #3                   | RB  | 2014 | SPD:83 DRB:80 SHO:56 DEF:91 PHY:80 IQ:81 | Juventus
2169. Mario Mandzukic #3                  | RB  | 2010 | SPD:76 DRB:75 SHO:64 DEF:86 PHY:85 IQ:98 | Inter Milan
2170. Júlio Cesar #3                      | RB  | 2006 | SPD:88 DRB:65 SHO:47 DEF:86 PHY:86 IQ:84 | Inter Milan
2171. Gio Simeone #3                      | RB  | 2022 | SPD:88 DRB:60 SHO:57 DEF:88 PHY:82 IQ:87 | AC Milan
2172. José Fonte #3                       | CM  | 2006 | SPD:92 DRB:70 SHO:86 DEF:70 PHY:86 IQ:89 | Bayern Munich
2173. Franz Beckenbauer #3                | CM  | 2022 | SPD:91 DRB:77 SHO:68 DEF:79 PHY:84 IQ:79 | Arsenal
2174. Massimo Oddo #3                     | LB  | 2018 | SPD:77 DRB:67 SHO:59 DEF:98 PHY:81 IQ:81 | Paris SG
2175. Samir Nasri #3                      | LW  | 2014 | SPD:87 DRB:94 SHO:83 DEF:59 PHY:92 IQ:84 | AC Milan
2176. Cristian Romero #3                  | LW  | 2022 | SPD:89 DRB:77 SHO:95 DEF:60 PHY:82 IQ:96 | Bayern Munich
2177. Curtis Jones #3                     | ST  | 2014 | SPD:91 DRB:95 SHO:90 DEF:54 PHY:89 IQ:94 | Liverpool
2178. Cesar Azpilicueta #3                | GK  | 2018 | SPD:74 DRB:37 SHO:33 DEF:93 PHY:80 IQ:90 | Chelsea
2179. Gonzalo Jara #3                     | ST  | 2022 | SPD:85 DRB:88 SHO:92 DEF:52 PHY:75 IQ:91 | Liverpool
2180. Inigo Martinez #3                   | RB  | 2010 | SPD:87 DRB:76 SHO:66 DEF:87 PHY:82 IQ:82 | Juventus
2181. João Pinto #3                       | CAM | 2022 | SPD:92 DRB:74 SHO:79 DEF:75 PHY:93 IQ:92 | Paris SG
2182. Nico Williams #3                    | CB  | 2010 | SPD:75 DRB:64 SHO:68 DEF:95 PHY:98 IQ:95 | Liverpool
2183. George Weah #3                      | ST  | 2006 | SPD:84 DRB:75 SHO:93 DEF:42 PHY:76 IQ:82 | Liverpool
2184. Nery Pumpido #3                     | CM  | 2010 | SPD:89 DRB:75 SHO:73 DEF:76 PHY:79 IQ:94 | Juventus
2185. Frederic Kanoute #3                 | LW  | 2010 | SPD:87 DRB:75 SHO:87 DEF:27 PHY:81 IQ:97 | Napoli
2186. Éder Militão #3                     | LW  | 2018 | SPD:82 DRB:80 SHO:82 DEF:44 PHY:90 IQ:81 | Barcelona
2187. Julián Montes #3                    | CDM | 2014 | SPD:84 DRB:81 SHO:69 DEF:76 PHY:98 IQ:87 | Juventus
2188. Mohamed Aboutrika #3                | CAM | 2022 | SPD:93 DRB:78 SHO:78 DEF:68 PHY:93 IQ:83 | Real Madrid
2189. Boubakary Soumare #3                | LW  | 2010 | SPD:94 DRB:86 SHO:97 DEF:55 PHY:78 IQ:85 | Arsenal
2190. Teófilo Cubillas #3                 | ST  | 2022 | SPD:91 DRB:82 SHO:95 DEF:37 PHY:84 IQ:79 | Bayern Munich
2191. Julio Cesar #3                      | ST  | 2022 | SPD:96 DRB:86 SHO:95 DEF:26 PHY:96 IQ:78 | Arsenal
2192. Filippo Inzaghi #3                  | LB  | 2010 | SPD:76 DRB:75 SHO:45 DEF:88 PHY:96 IQ:92 | Napoli
2193. Mikaël Silvestre #3                 | LW  | 2006 | SPD:83 DRB:91 SHO:91 DEF:48 PHY:78 IQ:82 | Inter Milan
2194. Juan Mata #3                        | LW  | 2010 | SPD:86 DRB:88 SHO:94 DEF:51 PHY:82 IQ:96 | Napoli
2195. Emlyn Hughes #3                     | CB  | 2010 | SPD:87 DRB:66 SHO:49 DEF:85 PHY:90 IQ:86 | AC Milan
2196. Jordi Alba #3                       | CB  | 2014 | SPD:89 DRB:61 SHO:45 DEF:98 PHY:92 IQ:78 | Arsenal
2197. Brad Friedel #3                     | CB  | 2006 | SPD:85 DRB:78 SHO:56 DEF:95 PHY:81 IQ:85 | Manchester United
2198. Claudio Reyna #3                    | LW  | 2014 | SPD:84 DRB:90 SHO:97 DEF:50 PHY:98 IQ:86 | Barcelona
2199. Nuno Gomes #3                       | RB  | 2022 | SPD:83 DRB:63 SHO:47 DEF:99 PHY:88 IQ:78 | Manchester United
2200. Stéphane Henchoz #3                 | ST  | 2022 | SPD:86 DRB:90 SHO:92 DEF:47 PHY:94 IQ:92 | Inter Milan
2201. Wim Kieft #3                        | CAM | 2018 | SPD:86 DRB:78 SHO:77 DEF:73 PHY:75 IQ:89 | Barcelona
2202. Sasa Ilic #3                        | LB  | 2018 | SPD:78 DRB:65 SHO:52 DEF:96 PHY:82 IQ:91 | Bayern Munich
2203. Carles Puyol #3                     | CB  | 2022 | SPD:90 DRB:63 SHO:69 DEF:93 PHY:75 IQ:86 | AC Milan
2204. Danilo Carrillo #3                  | GK  | 2022 | SPD:78 DRB:44 SHO:33 DEF:96 PHY:92 IQ:97 | AC Milan
2205. Rodrygo Goes #3                     | CB  | 2022 | SPD:83 DRB:68 SHO:67 DEF:86 PHY:89 IQ:88 | Arsenal
2206. Alisson Becker #3                   | RB  | 2014 | SPD:75 DRB:80 SHO:67 DEF:85 PHY:88 IQ:98 | Manchester United
2207. Jader Obrian #3                     | LW  | 2022 | SPD:90 DRB:76 SHO:96 DEF:51 PHY:93 IQ:94 | Inter Milan
2208. Marco Asensio #3                    | CM  | 2018 | SPD:80 DRB:84 SHO:70 DEF:83 PHY:82 IQ:96 | Liverpool
2209. Serhiy Rebrov #3                    | ST  | 2018 | SPD:84 DRB:95 SHO:98 DEF:25 PHY:94 IQ:81 | Bayern Munich
2210. John O'Shea #3                      | LW  | 2018 | SPD:95 DRB:95 SHO:83 DEF:38 PHY:77 IQ:88 | Napoli
2211. Alexis Sánchez #3                   | ST  | 2006 | SPD:82 DRB:88 SHO:95 DEF:35 PHY:84 IQ:78 | Napoli
2212. Angelos Charisteas #3               | CM  | 2018 | SPD:94 DRB:81 SHO:71 DEF:69 PHY:78 IQ:98 | Bayern Munich
2213. Nani #3                             | LW  | 2018 | SPD:82 DRB:87 SHO:97 DEF:58 PHY:78 IQ:82 | Barcelona
2214. Thibaut Courtois #3                 | LB  | 2006 | SPD:88 DRB:62 SHO:60 DEF:97 PHY:98 IQ:90 | AC Milan
2215. Lucas Hernandez #3                  | RB  | 2010 | SPD:80 DRB:79 SHO:62 DEF:96 PHY:82 IQ:84 | Chelsea
2216. David Villa #3                      | CDM | 2014 | SPD:89 DRB:75 SHO:83 DEF:80 PHY:80 IQ:84 | Arsenal
2217. Jaap Stam #3                        | CAM | 2006 | SPD:90 DRB:92 SHO:86 DEF:65 PHY:93 IQ:89 | Real Madrid
2218. Marcus Tutte #3                     | RB  | 2006 | SPD:85 DRB:66 SHO:65 DEF:95 PHY:75 IQ:82 | Arsenal
2219. Adriano #3                          | GK  | 2014 | SPD:81 DRB:50 SHO:23 DEF:93 PHY:87 IQ:90 | Inter Milan
2220. Wilfried Bony #3                    | CB  | 2014 | SPD:88 DRB:77 SHO:64 DEF:87 PHY:82 IQ:85 | Inter Milan
2221. Mark Lawrenson #3                   | CM  | 2006 | SPD:92 DRB:83 SHO:72 DEF:80 PHY:90 IQ:94 | Arsenal
2222. Ulreich Sven #3                     | LB  | 2018 | SPD:80 DRB:63 SHO:56 DEF:85 PHY:95 IQ:96 | Paris SG
2223. Hany Ramadan #3                     | LW  | 2022 | SPD:91 DRB:93 SHO:87 DEF:37 PHY:77 IQ:90 | AC Milan
2224. Marta #3                            | RB  | 2022 | SPD:86 DRB:78 SHO:59 DEF:85 PHY:86 IQ:96 | Bayern Munich
2225. Oguchi Onyewu #3                    | CDM | 2006 | SPD:92 DRB:91 SHO:85 DEF:77 PHY:81 IQ:89 | Real Madrid
2226. Florian Thauvin #3                  | CDM | 2022 | SPD:94 DRB:89 SHO:65 DEF:61 PHY:94 IQ:88 | Napoli
2227. Ousmane Dembélé #3                  | CB  | 2010 | SPD:89 DRB:71 SHO:50 DEF:94 PHY:97 IQ:79 | Juventus
2228. Daniele De Rossi #3                 | GK  | 2014 | SPD:71 DRB:55 SHO:42 DEF:99 PHY:86 IQ:91 | Arsenal
2229. Hulk #3                             | CAM | 2022 | SPD:79 DRB:78 SHO:73 DEF:66 PHY:84 IQ:86 | Bayern Munich
2230. Rivaldo #3                          | LW  | 2018 | SPD:85 DRB:90 SHO:90 DEF:56 PHY:76 IQ:97 | Inter Milan
2231. Mario Gomez #3                      | CDM | 2014 | SPD:83 DRB:84 SHO:73 DEF:85 PHY:95 IQ:81 | Juventus
2232. Gonzalo Higuaín #3                  | CDM | 2018 | SPD:88 DRB:90 SHO:65 DEF:63 PHY:89 IQ:88 | Paris SG
2233. Alfredo Di Stéfano #3               | RB  | 2006 | SPD:81 DRB:71 SHO:48 DEF:89 PHY:98 IQ:80 | Inter Milan
2234. Sadio Mane #3                       | CB  | 2006 | SPD:76 DRB:65 SHO:62 DEF:99 PHY:81 IQ:90 | Real Madrid
2235. Martin Benitez #3                   | LW  | 2022 | SPD:90 DRB:95 SHO:88 DEF:39 PHY:86 IQ:81 | Bayern Munich
2236. Rúben Dias #3                       | LW  | 2014 | SPD:82 DRB:92 SHO:89 DEF:43 PHY:89 IQ:93 | Inter Milan
2237. Mark Hughes #3                      | RB  | 2006 | SPD:76 DRB:68 SHO:64 DEF:87 PHY:80 IQ:86 | Juventus
2238. Hernandez Hugo #3                   | LW  | 2018 | SPD:85 DRB:95 SHO:87 DEF:34 PHY:91 IQ:90 | Liverpool
2239. Florian Neuhaus #3                  | CM  | 2022 | SPD:87 DRB:89 SHO:80 DEF:75 PHY:93 IQ:86 | Inter Milan
2240. Gigi Donnarumma #3                  | CDM | 2010 | SPD:84 DRB:70 SHO:77 DEF:79 PHY:88 IQ:92 | AC Milan
2241. Aymeric Laporte #3                  | ST  | 2022 | SPD:96 DRB:91 SHO:87 DEF:30 PHY:83 IQ:79 | Juventus
2242. Mauro Camoranesi #3                 | RB  | 2018 | SPD:81 DRB:66 SHO:48 DEF:88 PHY:75 IQ:85 | Arsenal
2243. Vilson Vilela #3                    | LW  | 2018 | SPD:83 DRB:89 SHO:94 DEF:47 PHY:93 IQ:94 | Napoli
2244. Acuña Marcos #3                     | CDM | 2018 | SPD:87 DRB:90 SHO:78 DEF:61 PHY:79 IQ:95 | AC Milan
2245. Shay Given #3                       | CDM | 2022 | SPD:86 DRB:74 SHO:68 DEF:83 PHY:84 IQ:84 | Liverpool
2246. Mason Mount #3                      | ST  | 2022 | SPD:91 DRB:78 SHO:98 DEF:52 PHY:86 IQ:96 | Napoli
2247. John Terry #3                       | CAM | 2006 | SPD:82 DRB:80 SHO:77 DEF:77 PHY:82 IQ:94 | Liverpool
